,From,To,Distance,Line
362,后沙峪,南法信,4567,15号线路网车站站间距信息
363,南法信,石门,2712,15号线路网车站站间距信息
364,石门,顺义,1332,15号线路网车站站间距信息
365,顺义,俸伯,2441,15号线路网车站站间距信息
366,起始站名,目的站名,距离（米）,16号线路网车站站间距信息
367,北安河,温阳路,2653,16号线路网车站站间距信息
368,温阳路,北安河,2653,16号线路网车站站间距信息
369,温阳路,稻香湖路,2310,16号线路网车站站间距信息
370,稻香湖路,温阳路,2310,16号线路网车站站间距信息
371,稻香湖路,屯佃,2352,16号线路网车站站间距信息
372,屯佃,稻香湖路,2352,16号线路网车站站间距信息
373,屯佃,永丰,1961,16号线路网车站站间距信息
374,永丰,屯佃,1961,16号线路网车站站间距信息
375,永丰,永丰南,1315,16号线路网车站站间距信息
376,永丰南,永丰,1315,16号线路网车站站间距信息
377,永丰南,西北旺,2108,16号线路网车站站间距信息
378,西北旺,永丰南,2108,16号线路网车站站间距信息
379,西北旺,马连洼,2196,16号线路网车站站间距信息
380,马连洼,西北旺,2196,16号线路网车站站间距信息
381,马连洼,农大南路,1517,16号线路网车站站间距信息
382,农大南路,马连洼,1517,16号线路网车站站间距信息
383,农大南路,西苑,2690,16号线路网车站站间距信息
384,西苑,农大南路,2690,16号线路网车站站间距信息
385,西苑,万泉河桥,1980,16号线路网车站站间距信息
386,万泉河桥,西苑,1980,16号线路网车站站间距信息
387,万泉河桥,苏州街,1486,16号线路网车站站间距信息
388,苏州街,万泉河桥,1486,16号线路网车站站间距信息
389,苏州街,苏州桥,1497,16号线路网车站站间距信息
390,苏州桥,苏州街,1497,16号线路网车站站间距信息
391,苏州桥,万寿寺,1610,16号线路网车站站间距信息
392,万寿寺,苏州桥,1610,16号线路网车站站间距信息
393,万寿寺,国家图书馆,1721,16号线路网车站站间距信息
394,国家图书馆,万寿寺,1721,16号线路网车站站间距信息
395,国家图书馆,甘家口,2635,16号线路网车站站间距信息
396,甘家口,国家图书馆,2635,16号线路网车站站间距信息
397,甘家口,玉渊潭东门,970,16号线路网车站站间距信息
398,玉渊潭东门,甘家口,970,16号线路网车站站间距信息
399,起始站名,目的站名,距离（米）,大兴机场线路网车站站间距信息
400,草桥,大兴新城,13028,大兴机场线路网车站站间距信息
401,大兴新城,草桥,13028,大兴机场线路网车站站间距信息
402,大兴新城,大兴机场,25303,大兴机场线路网车站站间距信息
403,大兴机场,大兴新城,25303,大兴机场线路网车站站间距信息
404,起始站名,目的站名,距离（米）,西郊线路网车站站间距信息
405,香山,植物园,983,西郊线路网车站站间距信息
406,植物园,香山,983,西郊线路网车站站间距信息
407,植物园,万安,1733,西郊线路网车站站间距信息
408,万安,植物园,1733,西郊线路网车站站间距信息
409,万安,茶棚,1550,西郊线路网车站站间距信息
410,茶棚,万安,1550,西郊线路网车站站间距信息
